SUCURSAL,FECHA,CATEGORIA,ARTICULO,ISBN,TITULO,CANTIDAD
Sucursal Mayorista 01,2026-05,LIBROS > No Ficción,1116612,9786249416159,La casa sin fronteras,19
Sucursal Mayorista 01,2026-05,LIBROS > Infantil,1163403,9784345251240,El jardín de cristal,9
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1179376,9783451551626,La torre en la niebla,853
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1150667,9784476374525,El puente del sur,1
Sucursal Feria 01,2026-05,LIBROS > Académico,1157857,9788432664316,La isla invisible,61
Sucursal Feria 01,2026-05,LIBROS > Arte y Diseño,1082254,9789354455342,El mapa perdido,13
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1107300,9785755511511,La ventana de las sombras,62
Sucursal Feria 01,2026-05,LIBROS > Ciencia,1175398,9786314667314,El eco entre líneas,18
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1163399,9785125276596,La tierra de fuego,35
Sucursal Feria 01,2026-05,LIBROS > Académico,1145138,9789241549583,El cielo del silencio,63
Sucursal Feria 01,2026-05,LIBROS > Académico,1140368,9781228415861,La voz en el viento,17
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1177224,9784662531655,El espejo de piedra,3
Sucursal Feria 01,2026-05,LIBROS > Académico,1092537,9783029517147,La ruta lejano,2
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1169395,9781386144916,El faro olvidado,1
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1134944,9782395750182,La huella secreto,3
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1134943,9783236815646,El reloj de papel,16
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1145783,9780195065442,La senda de hierro,15
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1167965,9780434842413,El río eterno,1
Sucursal Aeropuerto 02,2026-05,LIBROS > Ciencia,1155205,9784351555033,La montaña fugaz,3
Sucursal Feria 01,2026-05,LIBROS > Ciencia,1149831,9787403316339,El puerto del río,15
Sucursal Feria 01,2026-05,LIBROS > Historia,1165681,9782524431094,La plaza en la lluvia,9
Sucursal Mayorista 01,2026-05,LIBROS > Autoayuda,1082255,9784607691454,El umbral de arena,6
Sucursal AMBA 01,2026-05,LIBROS > Ciencia,1155205,9784351555033,La montaña fugaz,15
Sucursal Cuyo 01,2026-05,LIBROS > Juvenil,1142497,9781957042373,La noche nocturno,3
Sucursal AMBA 02,2026-05,LIBROS > Ciencia,1122785,9781419009491,El camino del bosque,2
Sucursal Norte 01,2026-05,LIBROS > Juvenil,1175416,9781112426551,La casa de sal,2
Sucursal Sur 01,2026-05,LIBROS > Académico,1172694,9784613066400,El jardín profundo,4
Sucursal Norte 01,2026-05,LIBROS > Académico,1082318,9784108127586,La torre de ceniza,2
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1178311,9786781601565,El puente luminoso,14
Sucursal Cuyo 02,2026-05,LIBROS > Juvenil,1178311,9786781601565,El puente luminoso,2
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1176943,9784356944321,La isla de jade,7
Sucursal Centro 01,2026-05,LIBROS > Juvenil,1163399,9785125276596,La tierra de fuego,2
Sucursal Centro 01,2026-05,LIBROS > Juvenil,1176943,9784356944321,La isla de jade,5
Sucursal AMBA 04,2026-05,LIBROS > Juvenil,1176943,9784356944321,La isla de jade,7
Sucursal AMBA 01,2026-05,LIBROS > Cocina,1118561,9786434267419,El mapa austral,1
Sucursal Centro 02,2026-05,LIBROS > Ciencia,1167071,9782436556628,La ventana boreal,5
Sucursal AMBA 04,2026-05,LIBROS > Tecnología,1068259,9782593181462,El eco de bronce,1
Sucursal Centro 03,2026-05,LIBROS > Ciencia,1164618,9780643157295,La tierra del alba,1
Sucursal AMBA 05,2026-05,LIBROS > Infantil,827857,9782365423427,El cielo sin fronteras,2
Sucursal Sur 01,2026-05,LIBROS > Juvenil,1142497,9781957042373,La noche nocturno,15
Sucursal Centro 03,2026-05,LIBROS > Juvenil,1162252,9789686525142,La voz de cristal,24
Sucursal Norte 02,2026-05,LIBROS > Arte y Diseño,1158104,9785525465506,El espejo en la niebla,1
Sucursal Costa 01,2026-05,LIBROS > Académico,1178307,9782806312554,La ruta del sur,1
Sucursal Aeropuerto 01,2026-05,LIBROS > Juvenil,1150669,9789838018530,El faro invisible,1
Sucursal Cuyo 03,2026-05,LIBROS > Juvenil,1161616,9780147933052,La huella perdido,3
Sucursal Costa 02,2026-05,LIBROS > Juvenil,1122788,9784944718125,El reloj de las sombras,2
Sucursal Costa 02,2026-05,LIBROS > Ciencia,1155205,9784351555033,La montaña fugaz,1
Sucursal Centro 04,2026-05,LIBROS > Académico,1082318,9784108127586,La torre de ceniza,3
Sucursal Norte 03,2026-05,LIBROS > Juvenil,1150669,9789838018530,El faro invisible,4
Sucursal Centro 05,2026-05,LIBROS > Académico,1163355,9786226809634,La senda entre líneas,1
Sucursal AMBA 06,2026-05,LIBROS > Juvenil,1164624,9788716324851,El río de fuego,1
Sucursal Sur 02,2026-05,LIBROS > Juvenil,1179384,9786230783642,La montaña del silencio,4
Sucursal Centro 04,2026-05,LIBROS > Juvenil,1138223,9781251394460,El puerto en el viento,2
Sucursal AMBA 07,2026-05,LIBROS > Académico,1172694,9784613066400,El jardín profundo,2
Sucursal Norte 04,2026-05,LIBROS > Juvenil,1169392,9788549303512,La plaza de piedra,3
Sucursal Sur 03,2026-05,LIBROS > Ciencia,1143186,9784513357017,El umbral lejano,1
Sucursal AMBA 03,2026-05,LIBROS > Juvenil,1160431,9785010835943,La noche olvidado,1
Sucursal Centro 03,2026-05,LIBROS > Juvenil,1169393,9786529352269,El camino secreto,4
Sucursal AMBA 05,2026-05,LIBROS > Juvenil,1173051,9786882485594,La casa de papel,3
Sucursal AMBA 08,2026-05,LIBROS > Cocina,1178312,9784064182130,El jardín de hierro,2
Sucursal AMBA 08,2026-05,LIBROS > Juvenil,1164620,9786188741473,La torre eterno,3
Sucursal Costa 03,2026-05,LIBROS > Juvenil,1175416,9781112426551,La casa de sal,2
Sucursal AMBA 08,2026-05,LIBROS > Juvenil,1177224,9784662531655,El espejo de piedra,12
Sucursal Sur 02,2026-05,LIBROS > Juvenil,1167076,9784113371196,El puente fugaz,3
Sucursal Centro 03,2026-05,LIBROS > Cocina,1178312,9784064182130,El jardín de hierro,2
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1163399,9785125276596,La tierra de fuego,23
Sucursal Cuyo 02,2026-05,LIBROS > Ciencia,1176934,9782645293124,La isla del río,12
Sucursal AMBA 06,2026-05,LIBROS > Tecnología,1076109,9787721424528,El mapa en la lluvia,1
Sucursal Feria 01,2026-05,LIBROS > Juvenil,1107939,9789061554173,La ventana de arena,11
Sucursal Sur 04,2026-05,LIBROS > Infantil,1163403,9784345251240,El jardín de cristal,2
Sucursal AMBA 04,2026-05,LIBROS > Cocina,1178308,9784144941426,El eco nocturno,3
Sucursal Norte 05,2026-05,LIBROS > Académico,1172694,9784613066400,El jardín profundo,9
Sucursal Cuyo 03,2026-05,LIBROS > Ciencia,1152235,9782085644384,La tierra del bosque,1
Sucursal AMBA 03,2026-05,LIBROS > Académico,1144371,9783437094894,El cielo de sal,1
Sucursal Costa 04,2026-05,LIBROS > Tecnología,951903,9783566529807,La voz profundo,1
Sucursal AMBA 01,2026-05,LIBROS > Juvenil,1164624,9788716324851,El río de fuego,29
Sucursal Costa 01,2026-05,LIBROS > Académico,1176940,9789218342371,El espejo de ceniza,1
Sucursal Cuyo 02,2026-05,LIBROS > Juvenil,1153754,9786631227612,La ruta luminoso,5
Sucursal AMBA 01,2026-05,LIBROS > Ciencia,1164618,9780643157295,La tierra del alba,10
Sucursal Centro 03,2026-05,LIBROS > Ciencia,1129996,9784372235606,El faro de jade,3
Sucursal Costa 05,2026-05,LIBROS > Ciencia,1137959,9784665745425,La huella austral,8
Sucursal AMBA 09,2026-05,LIBROS > Juvenil,1108891,9781233451776,El reloj boreal,3
Sucursal Sur 01,2026-05,LIBROS > Juvenil,1150669,9789838018530,El faro invisible,5
Sucursal Centro 04,2026-05,LIBROS > Juvenil,1129997,9784336264847,La senda de bronce,2
Sucursal AMBA 10,2026-05,LIBROS > Juvenil,1164620,9786188741473,La torre eterno,1
Sucursal AMBA 11,2026-05,LIBROS > Juvenil,1134943,9783236815646,El reloj de papel,3
Sucursal AMBA 12,2026-05,LIBROS > Académico,1157857,9788432664316,La isla invisible,2
